language,unigram,freq
go,github_com,0.0151254631885764
go,default,0.0108039022775545
go,dbg,0.0101004992782074
go,src,0.00810062800555367
go,docker,0.00710299107183905
go,c,0.00670301681730831
go,https,0.00624327629485918
go,test,0.00605018527543055
go,o,0.00599961381796114
go,error,0.00564561361567531
go,machine,0.00547550962236913
go,ssh,0.00541114594922626
go,andlabs,0.00528701600816499
go,local,0.00517208087755271
go,ui,0.00513530163575678
go,users,0.00492382099543018
go,command,0.00486405472751179
go,0x0,0.00479049624391993
go,usr,0.00393078146694006
go,version,0.0036457423430216
go,serf,0.00354919683330728
go,run,0.00322737846759289
go,http,0.00307106668996019
go,type,0.00277683275559274
go,bin,0.00277223535036825
go,file,0.00271706648767436
go,vuls,0.00267568984065394
go,err,0.00266189762498046
go,info,0.00260672876228657
go,running,0.00257914433093962
go,peco,0.00241823514808242
go,code,0.00237226109583751
go,x,0.00236766369061302
go,docker_machine,0.00230330001747014
go,exit,0.00217457267118438
go,$,0.00216078045551091
go,nil,0.00211940380849049
go,server,0.00211020899804151
go,output,0.00208722197191905
go,make,0.00207802716147007
go,calling,0.00207342975624558
go,failed,0.00204124791967414
go,issue,0.0020090660831027
go,add,0.00199067646220473
go,pull,0.00195849462563329
go,package,0.00194010500473533
go,br,0.00191252057338838
go,home,0.00189413095249041
go,lib,0.00188033873681694
go,temp,0.00188033873681694
go,00,0.00186194911591898
go,appdata,0.00183896208979652
go,os,0.00182976727934754
go,p,0.00179298803755161
go,cmd,0.00178839063232711
go,3,0.00177919582187813
go,dev,0.00176540360620466
go,10,0.00176080620098017
go,tcp,0.00174701398530669
go,d,0.00172402695918424
go,time,0.00171942955395975
go,set,0.00171023474351076
go,work,0.00164587107036788
go,windows,0.00161828663902094
go,create,0.00159989701812297
go,cobra,0.00159529961289848
go,net,0.0015861048024495
go,found,0.00157690999200051
go,files,0.00154472815542908
go,find,0.00153553334498009
go,ubuntu,0.00153553334498009
go,runtime,0.0015309359397556
go,ip,0.00150794891363315
go,status,0.00150794891363315
go,x86_64_w64_mingw32,0.00150335150840865
go,client,0.00149875410318416
go,config,0.00147576707706171
go,function,0.00147116967183722
go,pr,0.00144358524049027
go,string,0.00142979302481679
go,func,0.00141600080914332
go,host,0.00141600080914332
go,12,0.00141140340391883
go,address,0.00140220859346985
go,html,0.00139301378302086
go,gcc,0.00138841637779637
go,created,0.0013746241621229
go,key,0.0013746241621229
go,undefined,0.0013746241621229
go,text,0.00137002675689841
go,user,0.00134703973077595
go,base,0.00133784492032697
go,issues,0.00133784492032697
go,08,0.00132865010987798
go,build,0.00131026048898002
go,obj_test,0.00131026048898002
go,machines,0.00130566308375553
go,null,0.00130566308375553
go,root,0.00130106567853104
go,0_1,0.00128727346285756
haskell,stack,0.00873109997407025
haskell,build,0.00859507504750245
haskell,type,0.00697127748659942
haskell,x,0.00660145971749323
haskell,https,0.00601910300062486
haskell,cabal,0.00542824472584601
haskell,version,0.00519870266226286
haskell,error,0.00519020110435237
haskell,install,0.00478637710360424
haskell,$,0.00472261541927558
haskell,3,0.00465885373494693
haskell,ghcjs,0.00464185061912595
haskell,package,0.00453133036628962
haskell,code,0.00430603908166171
haskell,github_com,0.00388946274404785
haskell,haskell,0.00379169482807725
haskell,dist,0.00369817769106189
haskell,4,0.00354940042762836
haskell,file,0.0035238957538969
haskell,ghc,0.00335386459568716
haskell,ihaskell,0.00313707486896974
haskell,compiling,0.00311582097419352
haskell,bin,0.00304780851090962
haskell,import,0.00294153903702854
haskell,1_0,0.00271199697344538
haskell,work,0.00267799074180344
haskell,issue,0.0026652384049377
haskell,src,0.00264823528911673
haskell,elm,0.00263123217329576
haskell,main,0.00261422905747478
haskell,users,0.0026057274995643
haskell,list,0.00257597204687759
haskell,function,0.00257172126792235
haskell,home,0.00257172126792235
haskell,5,0.00256321971001186
haskell,nul,0.00245695023613077
haskell,run,0.00240594088866785
haskell,b,0.00239318855180212
haskell,failed,0.00239318855180212
haskell,http,0.00238468699389163
haskell,c,0.00231242375165249
haskell,0_1,0.0022741667410553
haskell,yesod,0.0022741667410553
