language,unigram,tf,idf,tfidf
c,127_0,0.00153311211400277,1.10535984300511,0.00169464056564333
c,reviewable,0.000883956534199795,1.91629005922144,0.0016939171192709
c,libclang_rt_asan_osx_dynamic_dylib,0.000511037371334256,3.30258442034133,0.0016877440607807
c,11194,0.000507584416122538,3.30258442034133,0.00167634038469434
c,r8,0.000873597668564641,1.91629005922144,0.00167406652802945
c,s,0.00166432441204805,0.999999327347282,0.00166432329253571
c,mirb,0.000493772595275667,3.30258442034133,0.00163072568034892
c,stack,0.00159871826302541,0.999999327347282,0.00159871718764323
c,r3,0.000607720117262359,2.60943723978138,0.00158580750534871
c,raspberrypi,0.000600814206838923,2.60943723978138,0.0015677869655152
c,version,0.00153656506921449,0.999999327347282,0.00153656403563982
c,line,0.0015193002931559,0.999999327347282,0.00151929927119443
